Prova,Numero_Questao,Enunciado,Alternativa_A,Alternativa_B,Alternativa_C,Alternativa_D,Alternativa_Correta,Justificativa
xxxv,79,"Seu escritório atua exclusivamente na área trabalhista e participará de uma licitação a ser realizada por uma grande empresa pública para escolha de escritórios de advocacia das mais diversas áreas de atuação. Assim sendo, a fim de elaborar a proposta a ser enviada para licitação, você foi incumbido de indicar quais processos seriam da competência da Justiça do Trabalho. Diante disso, considerando o entendimento jurisprudencial consolidado do TST, bem como a Constituição da República Federativa do Brasil, são da competência da Justiça do Trabalho",as ações relativas às penalidades administrativas impostas aos empregadores pelos órgãos de fiscalização das relações de trabalho.,as causas que envolvam servidores públicos estatutários e os entes de direito público interno.,os conflitos de competência instaurados entre juízes do trabalho e juízes de direito da justiça comum estadual.,as ações que visem a determinar o recolhimento de todas as contribuições previdenciárias oriundas da relação de emprego.,A,"Ao ser verificado o inciso VIII do artigo 114 da Constituição Federal encontraremos  a justificação da alternativa correta..
 
Legislação:
Art. 114. Compete à Justiça do Trabalho processar e julgar:
I as ações oriundas da relação de trabalho, abrangidos os entes de direito público externo e da administração pública direta e indireta da União, dos Estados, do Distrito Federal e dos Municípios;
II - as ações que envolvam exercício do direito de greve;
III as ações sobre representação sindical, entre sindicatos, entre sindicatos e trabalhadores, e entre sindicatos e empregadores;
IV os mandados de segurança, habeas corpus e habeas data, quando o ato questionado envolver matéria sujeita à sua jurisdição;
V - os conflitos de competência entre órgãos com jurisdição trabalhista, ressalvado o disposto no art. 102, I, o;
VI - as ações de indenização por dano moral ou patrimonial, decorrentes da relação de trabalho;
VII - as ações relativas às penalidades administrativas impostas aos empregadores pelos órgãos de fiscalização das relações de trabalho;
VIII - a execução, de ofício, das contribuições sociais previstas no art. 195, I, a , e II, e seus acréscimos legais, decorrentes das sentenças que proferir;
IX - outras controvérsias decorrentes da relação de trabalho, na forma da lei.
§ 1º - Frustrada a negociação coletiva, as partes poderão eleger árbitros.
§ 2º - Recusando-se qualquer das partes à negociação coletiva ou à arbitragem, é facultado às mesmas, de comum acordo, ajuizar dissídio coletivo de natureza econômica, podendo a Justiça do Trabalho decidir o conflito, respeitadas as disposições mínimas legais de proteção ao trabalho, bem como as convencionadas anteriormente.
§ 3º - Em caso de greve em atividade essencial, com possibilidade de lesão do interesse público, o Ministério Público do Trabalho poderá ajuizar dissídio coletivo, competindo à Justiça do Trabalho decidir o conflito."
xxxv,80,"Jeane era cuidadora de Dulce, uma senhora de idade que veio a falecer. A família de Dulce providenciou o pagamento das verbas devidas pela extinção do contrato, mas, logo após, Jeane ajuizou ação contra o espólio, postulando o pagamento, em dobro, de 3 (três) períodos de férias alegadamente não quitadas. Designada audiência, a inventariante do espólio informou que não tinha qualquer documento de pagamento de Jeane, pois era a falecida quem guardava e organizava toda a documentação. Por não ter provas, a inventariante concordou em realizar um acordo no valor de R$ 6.000,00 (seis mil reais), pagos no ato, por transferência PIX, e homologado de imediato pelo juiz. Passados 7 (sete) dias da audiência, quando fazia a arrumação das coisas deixadas por Dulce para destinar à doação, a inventariante encontrou, no fundo de uma gaveta, os recibos de pagamento das 3 (três) férias que Jeane reclamava, devidamente assinadas pela então empregada. Diante da situação retratada, da previsão na CLT e do entendimento consolidado do TST, assinale a afirmativa correta.","Nada poderá ser feito pela inventariante, porque o acordo homologado faz coisa julgada material.",A parte interessada poderá interpor recurso ordinário contra a decisão homologatória.,A inventariante poderá ajuizar ação rescisória para desconstituir o acordo.,Deverá ser ajuizada ação de cobrança contra Jeane para reaver o valor pago.,C,"Apenas por ação rescisória é impugnável o termo de conciliação previsto no parágrafo único do artigo 831 do Decreto-lei 5.452/43, a Consolidação das Leis do Trabalho, e nos termos da Súmula 259 do TST.
 
Legislação:
Art. 831 - A decisão será proferida depois de rejeitada pelas partes a proposta de conciliação.
Parágrafo único. No caso de conciliação, o termo que for lavrado valerá como decisão irrecorrível, salvo para a Previdência Social quanto às contribuições que lhe forem devidas.
 
Súmula 259 do TST
Só por ação rescisória é impugnável o termo de conciliação previsto no parágrafo único do art. 831 da CLT."
xxxiv,1,"O advogado César foi procurado pelo cliente Vinícius, que pretendia sua atuação defendendo-o em processo judicial. Ambos, então, ajustaram certo valor em honorários, por meio de contrato escrito. Na fase de execução do processo, César recebeu pagamentos de importâncias devidas a Vinícius e pretende realizar a compensação com os créditos de que é titular. Com base no caso narrado, assinale a afirmativa correta.","É admissível a compensação de créditos apenas na hipótese de o contrato de prestação de serviços a autorizar; se for silente o contrato, é vedada, mesmo diante de autorização posterior pelo cliente.","É admissível a compensação de créditos somente se o contrato de prestação de serviços a autorizar; caso silente o contrato, é possível a compensação, se houver autorização especial firmada pelo cliente para esse fim.",A compensação pretendida apenas será cabível se houver autorização especial firmada pelo cliente para esse fim; no contrato de prestação de serviços não é admitida a inclusão prévia de cláusula autorizativa de compensação de créditos.,"A compensação de créditos é vedada, não sendo admitida a inclusão prévia de cláusula autorizativa no contrato de prestação de serviços; tampouco, autoriza-se tal compensação, ainda que diante de autorização especial firmada pelo cliente para esse fim.",B,"A alternativa correta está de acordo com o que disciplina o artigo 48, parágrafo 2º do Código de Ética e Disciplina da OAB, que estabelece a possibilidade da compensação de créditos desde que prévia e expressamente firmada pelo cliente em contrato de prestação de serviços."
xxxiv,2,"A sociedade empresária Y presta, com estrutura organizacional, atividades de consultoria jurídica e de orientação de marketing para pequenos empreendedores. Considerando as atividades exercidas pela sociedade hipotética, assinale a afirmativa correta.",A sociedade Y deve ter seus atos constitutivos registrados apenas na Junta Comercial.,A sociedade Y deve ter seus atos constitutivos registrados apenas no Conselho Seccional da OAB em cuja base territorial tem sede.,É vedado o registro dos atos constitutivos da sociedade Y nos Conselhos Seccionais da OAB e também é vedado seu registro na Junta Comercial.,Os atos constitutivos da sociedade Y devem ser registrados na Junta Comercial e no Conselho Seccional da OAB em cuja base territorial tem sede.,C,"A alternativa é, praticamente a literalidade do artigo 16, parágrafo 3º do Estatuto da Advocacia e a Ordem dos Advogados do Brasil, que veda o registro, nos cartórios de registro civil de pessoas jurídicas e nas juntas comerciais, de sociedade que inclua, entre outras finalidades, a atividade de advocacia."
xxxiv,3,"Aline, advogada inscrita na OAB, poderá praticar validamente, durante o período em que estiver cumprindo sanção disciplinar de suspensão, o seguinte ato:",impetrar habeas corpus perante o Superior Tribunal de Justiça.,"visar ato constitutivo de cooperativa, para que seja levado a registro.",complementar parecer que elaborara em resposta à consulta jurídica.,interpor recurso com pedido de reforma de sentença que lhe foi desfavorável em processo no qual atuava em causa própria.,A,"A impetração de habeas corpus é direito fundamental de todo cidadão, não sendo ato exclusivo de advogado. Dessa forma, mesmo que o advogado esteja suspenso ou impedido de exercer sua atividade, a impetração de habeas corpus não é vedada, o que pode ser observado no artigo 1º, parágrafo 1º, do Estatuto da Advocacia e a Ordem dos Advogados do Brasil, Lei 8.906/94."
xxxiv,4,"Anderson, titular de sociedade individual de advocacia, é contratado pela sociedade empresária Polvilho Confeitaria Ltda. para atuar em sua defesa em ação judicial ajuizada por Pedro, consumidor insatisfeito. No curso da demanda, a impugnação ao cumprimento de sentença não foi conhecida por ter sido injustificadamente protocolizada por Anderson após o prazo previsto em lei, o que faz com que Pedro receba valor maior do que teria direito e, consequentemente, a sociedade empresária Polvilho Confeitaria Ltda. sofra danos materiais. Diante dessa situação, Anderson, sem prejuízo da responsabilidade disciplinar em que possa incorrer, poderá responder com seu patrimônio pessoal pelos danos materiais causados à sociedade empresária Polvilho Confeitaria Ltda.","Solidariamente, com a sociedade individual de advocacia e de forma ilimitada.","Subsidiariamente, em relação à sociedade individual de advocacia e de forma ilimitada.","Solidariamente, com a sociedade individual de advocacia e de forma limitada.","Subsidiariamente, em relação à sociedade individual de advocacia e de forma limitada.",B,"Além da sociedade, o sócio e o titular da sociedade individual de advocacia respondem subsidiária e ilimitadamente pelos danos causados aos clientes por ação ou omissão no exercício da advocacia, sem prejuízo da responsabilidade disciplinar em que possam incorrer, conforme disciplina o artigo 17 do Estatuto da Advocacia e a Ordem dos Advogados do Brasil."
xxxiv,5,"Leandro, advogado, celebrou contrato com associação de servidores públicos para pleitear em juízo o pagamento de determinada indenização em face do ente público respectivo. O contrato previu que Leandro receberia percentual do valor a que fizesse jus cada servidor que aderisse aos seus termos. O pedido em questão foi julgado procedente em ação coletiva. Após o trânsito em julgado dessa decisão, Leandro passou a representar em execução individual os interesses de Hugo, servidor substituído em juízo pela associação que optou, expressamente, por adquirir os direitos decorrentes daquele contrato. Em tal caso, o montante destinado a Leandro era inferior ao limite fixado em lei para as obrigações de pequeno valor, mas o mesmo não ocorria com relação ao crédito titularizado por Hugo. Assim, Leandro juntou aos autos, no momento oportuno, o contrato de honorários celebrado com a associação e a opção pelo mesmo firmada por Hugo. Fez, ainda, três requerimentos: o destaque da parcela relativa aos honorários convencionados do valor total devido a Hugo, a expedição de precatório em nome de Hugo e a expedição de requisição de pequeno valor em seu nome. Considerando essa situação, assinale a afirmativa correta.","Apenas o requerimento de expedição do precatório deve ser deferido, já que, por ter atuado em prol de entidade de classe em substituição processual, Leandro somente faz jus aos honorários assistenciais fixados na ação coletiva.","Apenas o requerimento de expedição do precatório deve ser deferido, já que, como o contrato de honorários foi celebrado entre Leandro e a associação, as obrigações dele decorrentes não podem ser assumidas por Hugo sem a necessidade de mais formalidades.","Apenas o requerimento de expedição de requisição de pequeno valor deve ser indeferido, já que o juiz deve determinar que os honorários contratuais sejam deduzidos do valor devido a Hugo após o pagamento pelo ente público.",Todos os requerimentos devem ser deferidos.,D,"Todos os requerimentos devem ser deferidos, conforme artigo 22, parágrafos 4º ao 6º do Estatuto da Advocacia e a Ordem dos Advogados do Brasil, uma vez que há um contrato entre Leandro e a associação caracteriza uma substituição processual por parte de Hugo, dessa forma, Hugo assume as obrigações decorrentes do contrato originário a partir do momento em que foi celebrado."
xxxiv,6,"Beatriz, advogada, oferece representação perante a OAB em razão de Isabela, outra advogada que atua na mesma área e na mesma cidade, ter supostamente praticado atos de captação de causas. Preocupada com as consequências dessa representação, Isabela decidiu estudar as normas que regem possível processo disciplinar a ser instaurado perante a OAB. Ao fazê-lo, Isabela concluiu que","o processo disciplinar pode ser instaurado de ofício, não dependendo de representação de autoridade ou da pessoa interessada.","o processo disciplinar tramita em sigilo até o seu término, permitindo-se o acesso às suas informações somente às partes e a seus defensores por ordem da autoridade judiciária competente.","ao representado deve ser assegurado amplo direito de defesa, cabendo ao Tribunal de Ética e Disciplina, por ocasião do julgamento, avaliar a necessidade de defesa oral.","se, após a defesa prévia, o relator se manifestar pelo indeferimento liminar da representação, o processo deverá ser levado a julgamento pelo Tribunal de Ética e Disciplina, que poderá determinar seu arquivamento.",A,"Conforme o artigo 72 do Estatuto da Advocacia e a Ordem dos Advogados do Brasil, o processo disciplinar instaura-se de ofício ou mediante representação de qualquer autoridade ou pessoa interessada."
xxxiv,7,"Determinada sociedade de advogados sustenta que os serviços por ela prestados são considerados de notória especialização, para fins de contratação com a Administração Pública. Sobre tal conceito, nos termos do Estatuto da Advocacia e da OAB, assinale a afirmativa correta.","Todas as atividades privativas da advocacia são consideradas como serviços de notória especialização, tratando-se de atributo da atuação técnica do advogado, não extensível à sociedade de advogados.","Todas as atividades privativas da advocacia são consideradas como serviços de notória especialização, conceito que se estende à atuação profissional do advogado ou da sociedade de advogados.","Apenas exercem serviços de notória especialização o advogado ou a sociedade de advogados cujo trabalho seja possível inferir ser essencial e, indiscutivelmente, o mais adequado à plena satisfação do objeto do contrato.","Apenas exercem serviços de notória especialização o advogado cujo trabalho seja possível inferir ser essencial e, indiscutivelmente, o mais adequado à plena satisfação do objeto do contrato, tratando-se de atributo da atuação técnica do advogado, não extensível à sociedade de advogados.",C,"De acordo com o artigo 3º-A do Estatuto da Advocacia e a Ordem dos Advogados do Brasil, considera-se notória especialização o profissional ou a sociedade de advogados cujo conceito no campo de sua especialidade, decorrente de desempenho anterior, estudos, experiências, publicações, organização, aparelhamento, equipe técnica ou de outros requisitos relacionados com suas atividades, permita inferir que o seu trabalho é essencial e indiscutivelmente o mais adequado à plena satisfação do objeto do contrato. "
xxxiv,8,"O advogado Pedro praticou infração disciplinar punível com censura, a qual gerou repercussão bastante negativa à advocacia, uma vez que ganhou grande destaque na mídia nacional. Por sua vez, o advogado Hélio praticou infração disciplinar punível com suspensão, a qual não gerou maiores repercussões públicas, uma vez que não houve divulgação do caso para além dos atores processuais envolvidos. Considerando a situação hipotética narrada, assinale a afirmativa correta.",É admissível a celebração de termo de ajustamento de conduta tanto por Pedro como por Hélio.,Não é admissível a celebração de termo de ajustamento de conduta por Pedro nem por Hélio.,"É admissível a celebração de termo de ajustamento de conduta por Pedro, mas não é admissível a celebração de termo de ajustamento de conduta por Hélio.","É admissível a celebração de termo de ajustamento de conduta por Hélio, mas não é admissível a celebração de termo de ajustamento de conduta por Pedro.",B,"Conforme parágrafo único do artigo 36 do Estatuto da Advocacia e a Ordem dos Advogados do Brasil, a censura submetida a Pedro pode ser convertida em advertência, mas não em termo de ajustamento de conduta dada a grande repercussão do ocorrido. Em relação a Hélio, não se aplica termo de ajustamento de conduta às infrações puníveis com suspensão, uma vez que o advogado suspenso fica interditado de exercer sua atividade profissional."
xxxiv,9,"Mas tal como os homens, tendo em vista conseguir a paz, e através disso sua própria conservação, criaram um homem artificial, ao qual chamamos Estado, assim também criaram cadeias artificiais, chamadas leis civis, as quais eles mesmos, mediante pactos mútuos, prenderam numa das pontas à boca daquele homem ou assembleia a quem confiaram o poder soberano, e na outra ponta a seus próprios ouvidos. Thomas Hobbes. Em seu livro Leviatã, Hobbes fala de um direito natural à liberdade de preservar sua própria vida. Porém, ele fala, também, da liberdade resultante do Pacto que institui o Estado Civil, isto é, da liberdade dos súditos. Assinale a opção que expressa essa ideia de liberdade dos súditos, segundo Hobbes no livro em referência.","Agir conforme os princípios do direito internacional, das tradições e dos costumes que são amplamente conhecidos pelos governos e pelos povos.","Ser livre para instaurar uma assembleia soberana que decida acerca das condutas que serão permitidas, proibidas e obrigatórias no âmbito do Estado Civil.","O poder do mais forte de decidir sobre os mais fracos, tal qual fazem os Estados soberanos após batalharem entre si e algum deles vencer a guerra.","A liberdade de fazer as coisas conforme elas foram reguladas pelo poder soberano, tais como comprar, vender e realizar outros contratos mútuos.",D,"Segundo o filósofo inglês Thomas Hobbes, em sua obra “O Leviatã”, o Estado deve existir de forma soberana para que possa garantir a preservação e a paz entre as pessoas. Dessa forma, segundo o autor a liberdade do ser humano deve estar limitada às leis criadas pelo Estado soberano. Ou seja, a liberdade existe, contudo dentro dos limites e da vontade estabelecida pelo Estado que é soberano e que recebeu a delegação do poder pelo povo em troca da necessidade de paz e sobrevivência. Assim, a alternativa D é o gabarito da questão, uma vez que é a que melhor expressa a ideia de liberdade dos súditos segundo Thomas Hobbes, uma vez que limita e subordina a liberdade das pessoas às leis do Estado, que regula os comportamentos permitidos, inclusive em relação às relações jurídicas estabelecidas entre os indivíduos."
xxxiv,10,"John Locke, em seu livro Segundo Tratado sobre o Governo, afirma que no estado de natureza as pessoas são livres, porém não possuem as condições de fruição da liberdade. Assim, é necessário instituir uma sociedade política com um governo civil. Assinale a opção que, segundo o autor no livro em referência, expressa os fins da sociedade política e do governo.",Estabelecer um processo de dominação de classe.,Promover a autocontenção da animalidade humana.,"Garantir a mútua conservação da vida, da liberdade e da propriedade.",Assegurar o governo de um soberano forte e limitado apenas pela própria vontade,C,"Para o filósofo inglês John Locke, no capítulo IX do livro Segundo Tratado sobre o Governo, os governos devem existir para garantir o exercício dos direitos civis do seu povo, como a vida, a liberdade e a propriedade. Para ele, “o objetivo capital e principal da união dos homens em comunidades sociais e de sua submissão a governos é a preservação de sua propriedade.”(...) Mas, embora os homens ao entrarem na sociedade renunciem à igualdade, à liberdade e ao poder executivo que possuíam no estado de natureza, que é então depositado nas mãos da sociedade, (...) cada um age dessa forma apenas com o objetivo de melhor proteger sua liberdade e sua propriedade (...)."
xxxiv,11,"O governador do Estado Alfa, como represália às críticas oriundas dos professores das redes públicas de ensino, determinou cortes na educação básica do referido ente, bem como instituiu a necessidade de pagamento de mensalidades pelos alunos de estabelecimentos oficiais de ensino que não comprovassem ser oriundos de famílias de baixa renda. Sobre a conduta do governador, com base na CRFB/88, assinale a afirmativa correta.","Está errada, pois a gratuidade do ensino público em estabelecimentos oficiais está prevista na ordem constitucional, de modo que o seu não oferecimento ou o oferecimento irregular pode ensejar, inclusive, a responsabilização do governador do Estado Alfa.","Está errada, pois o Estado deve garantir a educação básica obrigatória e gratuita dos 4 aos 17 anos de idade, de modo que ele apenas poderia restringir sua oferta gratuita em relação àqueles que a ela não tiveram acesso na idade própria.","Está certa, pois a gratuidade do ensino público, com a promulgação da Constituição de 1988, deixou de ser obrigatória, sendo facultado o exercício das atividades de ensino pela inciativa privada.","Está errada, pois os Estados e o Distrito Federal devem atuar, exclusivamente, no ensino médio e fundamental, de sorte que o governador do Estado Alfa não poderia adotar medida que viesse a atingir, indistintamente, todos os alunos da educação básica.",A,"De acordo com o artigo 206, inciso IV da Constituição Federal, o ensino deve ser ministrado com base, entre outros, no princípio da gratuidade em estabelecimentos oficiais. Além disso, o parágrafo 2º do artigo 208 da Constituição Federal estabelece que o não-oferecimento do ensino obrigatório pelo Poder Público, ou sua oferta irregular, importa responsabilidade da autoridade competente."
xxxiv,12,"O governador do Estado Alfa propôs, perante o Supremo Tribunal Federal, Ação Declaratória de Constitucionalidade (ADC), com pedido de tutela cautelar de urgência, para ver confirmada a legitimidade jurídico-constitucional de dispositivos da Constituição estadual, isto em razão da recalcitrância de alguns órgãos jurisdicionais na sua observância. Foi requerida medida cautelar. A partir do caso narrado, assinale a afirmativa correta.","A ADC pode ser conhecida e provida pelo STF, para que venha a ser declarada a constitucionalidade dos dispositivos da Constituição do Estado Alfa indicados pelo governador.","Embora a ADC proposta pelo governador do Estado Alfa possa ser conhecida e julgada pelo STF, revela-se incabível o deferimento de tutela cautelar de urgência nessa modalidade de ação de controle abstrato de constitucionalidade.","A admissibilidade da ADC prescinde da existência do requisito da controvérsia judicial relevante, uma vez que a norma sobre a qual se funda o pedido de declaração de constitucionalidade tem natureza supralegal.","A ADC não consubstancia a via adequada à análise da pretensão formulada, uma vez que a Constituição do Estado Alfa não pode ser objeto de controle em tal modalidade de ação abstrata de constitucionalidade.",D,"Nos termos do artigo 102, inciso I, alínea a da Constituição Federal, pode-se observar que o controle direto de constitucionalidade possui objeto mais restrito, só podendo ser utilizadas para análise de lei ou ato normativo federal"
xxxiv,13,"O perfil de proteção jurídica dos direitos fundamentais já passou e vem passando por momentos de avanços e involuções atrelados aos diferentes paradigmas constitucionais. Formam uma categoria aberta e dinâmica, que se encontra em constante mutação, em razão do Art. 5º, § 2º, da CRFB/88. Nessa perspectiva, em 2017, foi editada a Lei X que regulamentou diversos direitos sociais do rol constante do seu Art. 6º. Com isso, incorporou vários direitos sociais ao patrimônio jurídico do povo. No entanto, em 2019, foi aprovada a Lei Y, que revogou completamente a Lei X, desconstituindo pura e simplesmente o grau de concretização que o legislador democrático já havia dado ao Art. 6º da CRFB/88, sem apresentar nenhum outro instrumento protetivo no seu lugar. Diante de tal situação e de acordo com o direito constitucional contemporâneo, a Lei Y deve ser considerada","inconstitucional, pois a revogação total da Lei X, sem apresentação de lei regulamentadora alternativa, viola o princípio da “reserva do possível”.","inconstitucional, pois a revogação total da Lei X, sem apresentação de lei regulamentadora alternativa, viola o princípio da “proibição de retrocesso social”.","constitucional, pois predomina no direito brasileiro o princípio da “reserva do possível”, cuja interpretação garante a onipotência do Poder Legislativo na concretização dos direitos sociais.","constitucional, pois predomina no direito brasileiro o princípio da “proibição do retrocesso social”, de modo que os direitos sociais não têm imperatividade, podendo ser livremente regulamentados.",B,"O princípio da proibição do retrocesso impede, em tema de direitos fundamentais de caráter social, que sejam desconstituídas as conquistas já alcançadas pelo cidadão ou pela formação social em que ele vive. É também conhecido como efeito cliquet, que designa um movimento em que só é permitida a subida no percurso."
xxxiv,14,"Faltando um ano e meio para a eleição dos cargos políticos federais e estaduais, é promulgada pelo Presidente da República uma lei que estabelece diversas alterações no processo eleitoral. Alguns partidos políticos se insurgem, alegando ser inconstitucional que essa lei produza efeitos já na próxima eleição. Afirmam que uma nova lei eleitoral não pode ser aplicada na eleição imediata, pois isso contrariaria o princípio da anterioridade. No que tange à discussão referida, a possibilidade de a referida lei produzir efeitos já nas próximas eleições é","constitucional, já que o lapso temporal, entre a data de entrada em vigor da lei e a data da realização da próxima eleição, não afronta a regra temporal imposta pela Constituição Federal.","inconstitucional, por violação expressa ao princípio da anterioridade da legislação eleitoral, nos limites que a Constituição Federal de 1988 a ele concedeu.","inconstitucional, porque qualquer alteração do processo eleitoral somente poderia vir a ocorrer por via do poder constituinte derivado reformador.","constitucional, pois a Constituição Federal não impõe ao legislador qualquer limite temporal para a realização de alteração no processo eleitoral.",A,"Essa questão exige que o candidato conheça o princípio da anterioridade eleitoral previsto no artigo 16 da Constituição Federal, segundo o qual a lei que alterar o processo eleitoral entrará em vigor na data de sua publicação, não se aplicando à eleição que ocorra até um ano da data de sua vigência."
xxxiv,15,"A zona oeste do Estado Delta foi atingida por chuvas de grande intensidade por duas semanas, levando os especialistas a classificar tal situação como de calamidade de grandes proporções na natureza, em virtude dos estragos observados. O governador de Delta, ao decidir pela decretação do estado de defesa, convoca os procuradores do Estado para que estes se manifestem acerca da constitucionalidade da medida. Os procuradores informam ao governador que, segundo o sistema jurídico-constitucional brasileiro, a decretação do estado de defesa","é um meio institucional adequado para o enfrentamento da crise, mas depende de prévia consulta à Assembleia Legislativa do Estado Delta.","pode ser promovida pelo governador do Estado Delta, caso o Presidente da República delegue tais poderes ao Chefe do Poder Executivo estadual.","não pode se concretizar, pois a ocorrência de calamidade de grandes proporções na natureza não configura hipótese justificadora da referida medida.","é competência indelegável do Presidente da República, não sendo constitucionalmente prevista sua extensão aos chefes do poder executivo estadual.",D,"De acordo com o artigo 84, inciso IX da Constituição Federal compete privativamente ao Presidente da República decretar o Estado de Defesa e o Estado de Sítio."
xxxiv,16,"Clarisse, em razão da deficiência severa, não possui quaisquer meios de prover sua própria manutenção. Como sua deficiência foi adquirida ainda na infância, jamais exerceu qualquer atividade laborativa, e por essa razão não contribuiu para a previdência social no decorrer de sua vida. Alguns vizinhos, consternados com o quadro de grandes dificuldades por que passa Clarisse e interessados em auxiliá-la, procuram aconselhamento jurídico junto a competente advogado. Este, ao tomar ciência detalhada da situação, informa que, segundo o sistema jurídico-constitucional brasileiro, comprovada sua deficiência, Clarisse","possuirá a garantia de receber um salário-mínimo de benefício mensal, independentemente de qualquer contribuição à seguridade social, nos termos da lei.","poderá acessar o sistema previdenciário para que este lhe conceda uma pensão por invalidez, cujo valor, nos termos da lei, não ultrapassará dois salários-mínimos","possuirá direito a um benefício de metade do salário-mínimo vigente, mensalmente, se vier a comprovar, nos termos da lei, sua filiação ao sistema previdenciário.","terá que contribuir com ao menos uma parcela, a fim de ser considerada filiada ao sistema previdenciário e, só assim, terá direito a benefício no valor estabelecido em lei.",A,"A assistência social será prestada a quem dela necessitar, independentemente de contribuição à seguridade social. De acordo com o caput do artigo 203 da Constituição Federal. Ademais, o inciso V do artigo 203, também da Constituição Federal garante um salário mínimo de benefício mensal à pessoa com deficiência que comprove não possuir meios de prover à própria manutenção ou de tê-la provida por sua família, que é o caso de Clarisse."
xxxiv,17,"João Santos, eleito para o cargo de governador do Estado Delta, em cumprimento de uma promessa de campanha, resolve realizar severa reforma administrativa, de modo a melhorar as condições econômico-financeiras do Estado Delta. Para tanto, entre várias propostas, sugere a extinção da Defensoria Pública do Estado, sendo que a Procuradoria Geral do Estado passaria a ter, então, a incumbência de exercer as atribuições da instituição a ser extinta. Segundo a ordem jurídico-constitucional brasileira, o governador está","correto, pois os interesses públicos primários e secundários são coincidentes, não havendo motivos para que mais de um órgão venha a ter a competência concorrente de tutelar a ambos.","equivocado, pois a extinção da Defensoria Pública teria, por consequência automática, o repasse das atribuições do órgão a ser extinto para o Ministério Público do Estado Delta.","correto, pois a organização da estrutura administrativa do Estado Delta é atribuição do Governador do Estado, como decorrência natural do princípio federativo.","equivocado, sendo que sua proposta viola a Constituição Federal, já que a Defensoria Pública, como instituição permanente, é essencial à função jurisdicional do Estado.",D,
xxxiv,18,"Você está trabalhando, como advogada(o), para um grupo de estudantes universitários com deficiência visual. Eles relataram ter muita dificuldade para estudar, pois há pouquíssima disponibilidade de obras científicas com exemplar em formato acessível. Para preparar sua atuação no caso, você recorreu ao Tratado de Marraqueche para Facilitar o Acesso a Obras Publicadas às Pessoas Cegas, com Deficiência Visual ou com Outras Dificuldades para Ter Acesso ao Texto Impresso. Como ponto de partida do seu caso, exemplar em formato acessível, segundo o Tratado de Marraqueche, deve ser entendido como","disponibilização da obra no sistema de escrita e leitura tátil baseada em símbolos em relevo, conhecido como método Braille. Tal disponibilização deve se dar em centros governamentais ou não governamentais especializados em apoio às pessoas com deficiência visual.","venda ou reprodução de obras literárias, artísticas ou científicas por preços de no máximo 30% do valor de mercado destinada exclusivamente às pessoas com deficiência visual. As empresas editoriais contarão com isenções tributárias para compensar o custo de produção.","reprodução de uma obra de uma maneira ou forma alternativa que dê aos beneficiários acesso à obra, inclusive para permitir que a pessoa tenha acesso de maneira tão prática e cômoda como uma pessoa sem deficiência visual ou sem outras dificuldades para ter acesso ao texto impresso.",exemplar disponível para as pessoas com deficiência visual em bibliotecas que tenham ledores disponíveis durante todo o seu horário de funcionamento.,C,"É o conceito expresso no artigo 2º, alínea a, do Tratado de Marraqueche: “significa a reprodução de uma obra de uma maneira ou forma alternativa que dê aos beneficiários acesso à obra, inclusive para permitir que a pessoa tenha acesso de maneira tão prática e cômoda como uma pessoa sem deficiência visual ou sem outras dificuldades para ter acesso ao texto impresso. O exemplar em formato acessível é utilizado exclusivamente por beneficiários e deve respeitar a integridade da obra original, levando em devida consideração as alterações necessárias para tornar a obra acessível no formato alternativo e as necessidades de acessibilidade dos beneficiários”."
